All Establishment Details,,,,,,,,,,,,
Mar-17,,,,,,,,,,,,
Report Date: 05/01/2017 08:52 AM,,,,,,,,,,,,
Establishment,License Number,Municipality,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,NTI,NTI Tax Rate (30%),State Share,Municipality Share
CAVA Inc.,130701769,Cicero,5,309122.58,289090.67,20031.91,94419,74387.09,20031.91,6009.68,5008.07,1001.61
"CBM ENTERPRISES, INC.",120703707,Sterling,5,71140.22,62613.02,8527.2,22633,14105.67,8527.33,2558.26,2131.88,426.38
CC DEPOT INC.,120702187,Crescent City,5,123624.99,114273.88,9351.11,38601,29249.89,9351.11,2805.43,2337.86,467.57
"CCASD, INC.",160702869,Homer Glen,5,99718.34,94875.25,4843.09,26548,21704.91,4843.09,1452.93,1210.77,242.16
"CCB ENTERTAINMENT, INC.",130705482,Murphysboro,4,217360.32,196864.68,20495.64,59834,39338.56,20495.44,6148.68,5123.9,1024.78
CCBG Inc.,140702897,Charleston,5,93828.24,83806.7,10021.54,32600,22578.61,10021.39,3006.48,2505.4,501.08
"CDBG ENTERPRISES, INC.",130704023,Bartonville,5,129604.39,115624.44,13979.95,46085,32105.05,13979.95,4194.04,3495.04,699
"CDBG ENTERPRISES, INC.",160701990,North Pekin,5,262249.11,241027.63,21221.48,82815,61593.52,21221.48,6366.46,5305.38,1061.08
"CDT ENTERPRISE, INC.",120702942,Carol Stream,5,132895.27,121828.9,11066.37,43816,32749.49,11066.51,3320.05,2766.71,553.34
"Cedar Inn, Inc.",140701765,Stephenson County,5,261761.72,240221.53,21540.19,88485,66944.56,21540.44,6462.23,5385.2,1077.03
Celena Quinonez,130703324,Rockford,3,274355.22,248561.18,25794.04,83599,57804.81,25794.19,7738.3,6448.59,1289.71
"Centennial Lanes, Inc.",140700571,Tinley Park,5,169004.96,155530.3,13474.66,52008,38533.11,13474.89,4042.54,3368.78,673.76
"Center Tap, Inc.",120702195,East Peoria,5,339754.4,317783.62,21970.78,105089,83118.03,21970.97,6591.33,5492.78,1098.55
"Central Illinois Bowling Properties, LLC",130703263,Winchester,3,101382.27,92198.99,9183.28,29485,20301.72,9183.28,2755.02,2295.85,459.17
Central Illinois Gaming Inc.,160700119,Decatur,5,496718.52,462670.87,34047.65,177109,143085.05,34023.95,10207.23,8506.03,1701.2
"Central Park Tap, Inc.",120700610,Rockford,5,566163.03,520446.51,45716.52,192033,146269.23,45763.77,13729.22,11441.02,2288.2
"CENTRAL POINTE, INC.",120711229,Springfield,2,45127.82,40471.68,4656.14,20626,15969.86,4656.14,1396.9,1164.08,232.82
"CENTRAL POINTE, INC.",140703890,Springfield,3,89660.55,82501.98,7158.57,35450,28291.32,7158.68,2147.64,1789.7,357.94
"Central Tavern, LLC",120706753,Thomasboro,5,146885.13,131665.74,15219.39,48361,33141.61,15219.39,4565.86,3804.88,760.98
"Centralia Lodge No. 1219, Loyal Order of Moose",120805744,Centralia,5,138580.81,125088.82,13491.99,37527,24035.05,13491.95,4047.62,3373.02,674.6
"CENTRALIA POST NO. 2055, VETERANS OF FOREIGN WARS OF THE UNITED STATES",120904333,Centralia,5,90261.19,84096.74,6164.45,24675,18510.56,6164.44,1849.4,1541.17,308.23
"Centralia, Lodge No. 493, Benevolent and Protective Order of Elks, of the United States of America",120808137,Centralia,5,415734.09,393558.3,22175.79,86826,64650.11,22175.89,6652.79,5543.99,1108.8
Cerk's Place Inc.,120710563,Windsor (Shelby),3,35737.25,31590.63,4146.62,11894,7747.21,4146.79,1244.11,1036.75,207.36
"CERMACK HOSPITALITY, INC.",130702618,Cicero,3,82704.59,74768.02,7936.57,39848,31911.4,7936.6,2381.02,1984.19,396.83
"CERRO GORDO POST NO. 117, THE AMERICAN LEGION, DEPARTMENT OF ILLINOIS",120912084,Cerro Gordo,4,121704.54,115439.87,6264.67,43731,37466.05,6264.95,1879.53,1566.27,313.26
"Cesar's Sports Bar, Inc.",140702185,Bloomingdale,5,367990.51,333162.47,34828.04,102745,67916.97,34828.03,10448.48,8707.06,1741.42
"CGTL Investments, Inc.",150704209,Waukegan,5,408073.83,379206.07,28867.76,158069,129201.24,28867.76,8660.4,7217,1443.4
"Chairtree, LLC",150704071,Putnam County,3,24055.42,22262.25,1793.17,8135,6386.73,1748.27,524.46,437.05,87.41
"Chalk It Up Billiards & Arcade, Inc.",120707141,Manteno,4,135325.05,126614.94,8710.11,43477,34766.89,8710.11,2613.04,2177.53,435.51
CHAMPAIGN BARS INC.,130700173,Champaign,5,188952.28,175004.31,13947.97,66455,52507.08,13947.92,4184.4,3487,697.4
"Champaign County Post 5520, Veterans of Foreign Wars of the United States",120907747,Champaign,5,145595.07,130444.49,15150.58,49738,34587.42,15150.58,4545.24,3787.7,757.54
"Champaign Lodge #3075, Fraternal Order of Eagles",130800629,Champaign,5,127703.07,117803.94,9899.13,37689,27789.87,9899.13,2969.74,2474.79,494.95
"CHAMPAIGN POST #24, AMERICAN LEGION",120904331,Champaign,5,195632.88,180978.15,14654.73,65160,50505.27,14654.73,4396.44,3663.7,732.74
Champaign Post No.3 American Veterans of World War II,130904683,Champaign,4,31718.31,27476.08,4242.23,11208,6965.87,4242.13,1272.68,1060.57,212.11
"CHAMPAIGN RENTALS, LLC",150700722,Decatur,5,332497.37,309277.63,23219.74,120465,97245.26,23219.74,6965.91,5804.93,1160.98
Champaign-Urbana Elks #2497,120801404,Savoy,3,44922.52,40310.7,4611.82,15582,10970.05,4611.95,1383.63,1153.03,230.6
Champions Sports Grill & Bar Inc.,160700487,Granite City,5,149450.28,138619.69,10830.59,45024,34193.36,10830.64,3249.26,2707.72,541.54
"Champs of Peoria, Inc.",140701484,Peoria,5,504599.51,450051.68,54547.83,155403,100847.75,54555.25,16366.61,13638.84,2727.77
Chan's Gourmet Inc.,160703295,Aurora,5,15905.89,15594,311.89,6739,6427.11,311.89,93.62,78.01,15.61
Chana Tap Inc.,150703556,Ogle County,5,91632.81,85090.36,6542.45,33325,26780.95,6544.05,1963.26,1636.05,327.21
"Chances R Sportsbar & Grill, Inc.",130700062,Greenup,5,241519.59,222369.19,19150.4,84491,65340.69,19150.31,5745.12,4787.6,957.52
"Charcoal Pit Bar & Grill, Inc.",120704597,Joliet,3,47282.97,44251.7,3031.27,16126,13094.63,3031.37,909.41,757.84,151.57
CHARLES A WHISMAN,130703468,Farmer City,5,222171.28,203094.82,19076.46,72893,53816.54,19076.46,5723,4769.17,953.83
CHARLES A. HALING,140700937,Lake County,5,211473.83,190144.25,21329.58,80377,59047.42,21329.58,6399,5332.5,1066.5
Charles E. Wood,120702110,Jacksonville,2,29701.62,27999.26,1702.36,8251,6548.64,1702.36,510.72,425.6,85.12
"Charles F. Pool, Inc.",120700385,Avon,3,103808.1,97228.27,6579.83,28953,22373.17,6579.83,1973.94,1644.95,328.99
Charles H & Sandra N Sine,120710593,Johnston City,4,155047.69,142258.78,12788.91,44022,31233.05,12788.95,3836.73,3197.27,639.46
Charles Kruep and Carol Kruep,160700433,Addieville,5,23587.61,21547.02,2040.59,6773,4732.41,2040.59,612.18,510.15,102.03
Charles R. Rose,120701264,Marion County,2,12204.94,11282.1,922.84,4748,3825.16,922.84,276.85,230.71,46.14
CHARLESTON COUNTRY CLUB,120713087,Charleston,4,38874.3,35014.3,3860,12582,8721.93,3860.07,1158.03,965.03,193
"CHARLESTON, ILLINOIS, MOOSE LODGE #1388 LOYAL ORDER OF MOOSE",120800557,Charleston,5,80445.79,74481.61,5964.18,26513,20548.82,5964.18,1789.33,1491.11,298.22
CHARLIE & PAM INC.,130705774,Quincy,2,32007.78,28165.09,3842.69,11230,7387.32,3842.68,1152.8,960.66,192.14
"Charlie's II, Inc.",140701615,Mount Carroll,4,133683.5,123891.46,9792.04,29711,19918.96,9792.04,2937.64,2448.04,489.6
Charlie's Tap,120700354,Colona,3,82200.04,74544.99,7655.05,24973,17317.95,7655.05,2296.49,1913.75,382.74
Charlotte Olson,120702025,Cedar Point,5,180124.62,159977.93,20146.69,60797,40650.51,20146.49,6044,5036.67,1007.33
"CHARM MILE HIGH, INC.",130701606,Stone Park,3,35021.45,30712.89,4308.56,9940,5629.39,4310.61,1293.19,1077.66,215.53
"CHASERS BAR & GRILL, INC.",160702099,Niles,5,535843.96,495222.53,40621.43,162131,121509.77,40621.23,12186.37,10155.31,2031.06
CHASERS SPORTS BAR AND GRILL INC.,140702422,Lake Zurich,5,555790.2,520997.56,34792.64,154988,120195.51,34792.49,10437.74,8698.12,1739.62
CHASERS TAP INC.,120709530,Rushville,5,229395,212886.56,16508.44,59754,43245.56,16508.44,4952.64,4127.2,825.44
"CHATHAM POST 4763, VETERANS OF FOREIGN WARS OF THE UNITED STATES, INC.",150904309,Chatham,2,88332.56,80618.03,7714.53,21265,13550.37,7714.63,2314.42,1928.69,385.73
"Chatham Pub Partners, LLC",120706770,Chatham,5,408380.9,387465.26,20915.64,119946,99030.36,20915.64,6274.72,5228.94,1045.78
"CHAVEZ & RIDDER, INC.",120705577,Crete,3,82084.85,75113.52,6971.33,28581,21609.73,6971.27,2091.38,1742.82,348.56
Cheers Lounge Inc.,120709222,Sangamon County,5,196432.13,178043.05,18389.08,60266,41877.15,18388.85,5516.71,4597.26,919.45
Chen Jackpot Cafe Inc.,160701479,Round Lake Beach,5,437553.86,402845.02,34708.84,147052,112343.16,34708.84,10412.67,8677.23,1735.44
Chen's Buffet Inc.,130706418,Waukegan,5,887586,813983.33,73602.67,322942,249339.32,73602.68,22080.85,18400.71,3680.14
"Chenoa Family Restaurant, Inc.",160700905,Chenoa,5,133673.55,125081.04,8592.51,45636,37043.41,8592.59,2577.84,2148.2,429.64
"CHERRY RED'S GARAGE, LLC",160701342,Dwight,5,109565.69,100227.84,9337.85,34012,24674.45,9337.55,2801.3,2334.42,466.88
"CHERRYWOOD TAP, INC.",120701163,Cicero,4,255703.86,232311.61,23392.25,72952,49559.81,23392.19,7017.69,5848.07,1169.62
CHESTER COMMUNITY GOLF CLUB,140700131,Chester,3,30389.69,27665.35,2724.34,11016,8291.66,2724.34,817.32,681.1,136.22
Chester Moose Lodge 1764 (Loyal Order of Moose) Inc.,120807272,Chester,5,77780.86,73387.57,4393.29,19015,14621.52,4393.48,1318.11,1098.42,219.69
"Chester Street, Inc.",120705516,Champaign,3,51492.68,45681.49,5811.19,19298,13486.81,5811.19,1743.44,1452.87,290.57
"Chet's Fox River Tavern & Canoe Rental, INC.",120700188,La Salle County,5,223196.16,205124.28,18071.88,62020,43948.12,18071.88,5421.58,4517.98,903.6
Chet's Super Tacos Inc.,150704451,Stone Park,5,311535.78,281661.03,29874.75,94409,64534.25,29874.75,8962.48,7468.73,1493.75
"CHI-TOWN DOGS, LLC",160700289,Island Lake,5,153102.74,137536.56,15566.18,57469,41902.82,15566.18,4669.87,3891.56,778.31
"Chicago (South) Lodge No. 1596 B.P.O.E of the USA, Inc.",120803315,Crestwood,5,254307.1,240348.5,13958.6,88717,74758.4,13958.6,4187.59,3489.66,697.93
"Chicago Business Services, Inc.",130703184,Burbank,5,476183.96,435594.54,40589.42,141854,101264.33,40589.67,12176.96,10147.47,2029.49
Chicago Heights Post No. 131 American Legion Department of Illinois,140902558,South Chicago Heights,4,149444.24,137308.74,12135.5,44458,32322.5,12135.5,3640.69,3033.91,606.78
"CHICAGO SOUTHWEST LODGE NO. 44, LOYAL ORDER OF MOOSE",120812599,Bridgeview,4,70411.83,64518.86,5892.97,23395,17502.03,5892.97,1767.89,1473.24,294.65
"Chicago Tavern Group, LLC - Joliet",120700447,Joliet,3,54303.34,48742.41,5560.93,17190,11629.07,5560.93,1668.3,1390.25,278.05
"Chickasaw, LLC",130700684,Matteson,5,502385.45,453414.52,48970.93,172937,123966.07,48970.93,14691.31,12242.76,2448.55
"Chiko Club Liquors, Inc.",130702209,Cicero,5,591008.86,545130.28,45878.58,172133,126254.42,45878.58,13763.63,11469.7,2293.93
Chile Pepper Cafe LTD.,120700522,Oregon,3,48606.82,45260.6,3346.22,17747,14400.78,3346.22,1003.89,836.58,167.31
CHILLICOTHE POST #9 AMERICAN LEGION DEPARTMENT OF ILLINOIS,120906839,Chillicothe,5,238576.84,213476,25100.84,69328,44227.16,25100.84,7530.29,6275.24,1255.05
CHILLICOTHE STEAK HOUSE INC.,120707285,Chillicothe,5,317702.59,293003.01,24699.58,89558,64858.42,24699.58,7409.93,6174.94,1234.99
"CHINA GIRL, INC.",130702679,McHenry County,5,171021.98,157808.66,13213.32,54723,41509.68,13213.32,3964.04,3303.37,660.67
Chintana Sengchannavong LLC,150701084,Rockford,4,81749.64,74974.28,6775.36,26466,19690.64,6775.36,2032.63,1693.86,338.77
"CHIQUITA FOOD MARKET, INC.",130704705,Rockford,3,175535.78,157726.77,17809.01,56639,38829.79,17809.21,5342.85,4452.38,890.47
"Chitown Tap, LLC",120710046,Streator,5,103706.87,92980.88,10725.99,26982,16256.01,10725.99,3217.92,2681.6,536.32
CHMC Inc.,130706310,Warsaw,3,123715.57,113809.49,9906.08,33743,23836.92,9906.08,2971.88,2476.57,495.31
"Chop's Family Inn, Inc.",120708141,Ashley,3,24732.56,23840.76,891.8,8232,7340.2,891.8,267.51,222.93,44.58
"Chop's Family Inn, Inc.",120708138,Ashley,5,206448.46,193606.95,12841.51,59078,46236.49,12841.51,3852.47,3210.39,642.08
Choppers Bar & Grill Inc.,120700691,East Moline,4,100434.06,89449.23,10984.83,32171,21186.28,10984.72,3295.45,2746.21,549.24
"CHRISHINT, Inc.",120703201,Oblong,4,150870.06,138715.17,12154.89,35222,23067.11,12154.89,3646.53,3038.78,607.75
"Chrissy's, LLC",160701003,Carol Stream,5,384308.14,351804.13,32504.01,121152,88648.14,32503.86,9751.18,8125.98,1625.2
"Christ Bros., Inc.",130703289,Okawville,3,87347.95,80080.69,7267.26,29457,22189.74,7267.26,2180.2,1816.83,363.37
Christi's Den Incorporated,120707741,Dunlap,4,172109.45,158583.92,13525.53,69237,55711.36,13525.64,4057.73,3381.44,676.29
Christina Fred,120708397,Du Quoin,3,92813.58,84452.13,8361.45,24223,15861.55,8361.45,2508.46,2090.39,418.07
Christine Ann Amerman,130703485,Peoria,5,284794.16,266469.24,18324.92,90386,72060.83,18325.17,5497.56,4581.3,916.26
Christopher Columbian Club,130705295,Christopher,3,28603.56,25921.51,2682.05,8417,5734.9,2682.1,804.66,670.55,134.11
Christopher Vandersnick,120710708,Annawan,5,167945.15,157277.29,10667.86,61928,51260.14,10667.86,3200.41,2667.01,533.4
"Christopher's Speakeasy, LLC",130706216,Westchester,5,529441.76,497797.63,31644.13,128489,96845.87,31643.13,9493.01,7910.84,1582.17
"CHRISTOS & KOSTAS, INC.",120709251,Franklin Park,5,289375.48,256460.55,32914.93,104442,71527.03,32914.97,9874.58,8228.82,1645.76
"Christy's Place, Inc.",120706287,Washington,5,171701.06,157539.29,14161.77,61413,47251.28,14161.72,4248.52,3540.43,708.09
Chronister Oil Company,121006062,Springfield,5,1204267.62,1116871.48,87396.14,360061,272426.89,87634.11,26290.3,21908.58,4381.72
Chronister Oil Company,121007648,Bloomington,5,1498965.95,1376536.18,122429.77,435968,313538.26,122429.74,36728.99,30607.49,6121.5
Chronister Oil Company,140700017,South Jacksonville,5,547809.61,509379.33,38430.28,162069,123638.52,38430.48,11529.15,9607.63,1921.52
Chronister Oil Company,121002985,Sangamon County,5,920355.92,854756.76,65599.16,290934,225392.34,65541.66,19662.52,16385.44,3277.08
Chronister Oil Company,121006560,Normal,5,939393.34,870325.19,69068.15,292476,223302.65,69173.35,20752.07,17293.4,3458.67
Chronister Oil Company,131001688,Springfield,5,636679.04,590963.77,45715.27,199667,154019.08,45647.92,13694.38,11411.99,2282.39
Chronister Oil Company,151000612,Sangamon County,5,1239072.76,1151524.64,87548.12,376732,289154.73,87577.27,26273.26,21894.39,4378.87
Chronister Oil Company,150704460,Pana,5,167462.16,156094.96,11367.2,53889,42521.8,11367.2,3410.17,2841.81,568.36
Chronister Oil Company,151001635,Springfield,5,1160110.04,1076773.91,83336.13,377352,294089.01,83262.99,24978.94,20815.79,4163.15
"Chubby Bullfrog Bar and Grill, LLC",130701958,West Dundee,4,186815.76,174148.01,12667.75,58754,46086.25,12667.75,3800.31,3166.93,633.38
Chuck's Bar & Grill LLC,130703784,Virgil,3,104810.76,97385.19,7425.57,32754,25328.43,7425.57,2227.69,1856.4,371.29
"CHUCK'S SOUTHERN COMFORTS CAFE AND BANQUETS, INC.",130703640,Darien,5,442159.23,417347.67,24811.56,124755,99943.44,24811.56,7443.55,6202.96,1240.59
"CHUCK'S SOUTHERN COMFORTS CAFE, INC.",130703641,Burbank,5,523793.89,482782.83,41011.06,159719,118707.35,41011.65,12303.53,10252.94,2050.59
CHUCKIE'S INCORPORATED,130700226,Quincy,2,117243.72,108583.27,8660.45,36909,28248.67,8660.33,2598.13,2165.11,433.02
"CHUI'ES SNACK SHOP, INC.",120700338,Galesburg,5,417166.81,388534.41,28632.4,122352,93719.32,28632.68,8589.89,7158.25,1431.64
"Chullo Enterprises, L.L.C.",120705200,Romeoville,5,339786.73,308038.09,31748.64,91226,59477.36,31748.64,9524.65,7937.21,1587.44
"Cicero Post #96, The American Legion",130906116,Cicero,3,85449.06,74859.83,10589.23,28187,17597.7,10589.3,3176.79,2647.33,529.46
"CIESLA WINE & SPIRITS, INC.",160700523,Burbank,5,72265.95,66616.85,5649.1,24918,19268.9,5649.1,1694.74,1412.28,282.46
"Cimino's, Inc.",120700661,Freeport,5,425583.71,388878.06,36705.65,148589,111883.35,36705.65,11011.73,9176.45,1835.28
"Ciminos III, Inc.",120704787,Pecatonica,3,96165.12,86182.19,9982.93,30895,20911.9,9983.1,2995,2495.83,499.17
Cindy Galinis,150700012,Barry,4,88920.16,80964.39,7955.77,22396,14440.23,7955.77,2386.75,1988.96,397.79
"CINDY'S COUNTRY KITCHEN, LLC",130703901,Pana,5,124856.29,113315.84,11540.45,39511,27970.64,11540.36,3462.17,2885.14,577.03
"Circle II, Inc.",150700073,Heyworth,3,141220.69,131952.46,9268.23,42321,33052.77,9268.23,2780.52,2317.1,463.42
CIROMIKE INC.,140703628,Lake County,5,163162.33,151174.83,11987.5,54705,42717.5,11987.5,3596.31,2996.93,599.38
"CITY LIMITS BAR & GRILL, INC.",120709808,Mount Sterling,3,21867.49,20215.03,1652.46,6085,4432.54,1652.46,495.73,413.11,82.62
"City Limits of Viola, Inc.",150701013,Viola,3,34437.51,32152.63,2284.88,11293,9008.12,2284.88,685.5,571.26,114.24
City of Blue Island,120708327,Blue Island,5,40364.13,36295.22,4068.91,12493,8424.07,4068.93,1220.69,1017.24,203.45
City of Countryside,150700928,Countryside,3,12612.82,11645.78,967.04,2993,2026.13,966.87,290.07,241.73,48.34
"City of Roses, Aerie 4109 Fraternal Order of Eagles",120802050,Pana,5,224626.94,200451.82,24175.12,77712,53536.78,24175.22,7252.64,6043.87,1208.77
City of Wood River Belk Park Golf Course,150703915,Wood River,3,9305.71,9438.62,-132.91,4582,4714.91,-132.91,-39.87,-33.23,-6.64
"City Tavern, Inc.",120712963,Kankakee,4,166173.8,153283.65,12890.15,64696,51806.05,12889.95,3867.01,3222.51,644.5
City-Weid Inc.,140702958,Vermilion County,5,435666.89,400835.6,34831.29,129274,94443.32,34830.68,10449.26,8707.72,1741.54
CJ BUGGY INCORPORATED,130703718,Cicero,5,165197.9,152949.74,12248.16,54876,42627.84,12248.16,3674.55,3062.12,612.43
"CJ's Catering, Inc.",140703722,Bloomington,2,22487.99,19774.85,2713.14,7113,4399.86,2713.14,813.95,678.29,135.66
"CJ'S GAMING, LLC",160700504,DeKalb,5,502796.26,463013.63,39782.63,142890,103107.37,39782.63,11934.84,9945.7,1989.14
"CJC Real Estate, L.L.C.",120701178,Countryside,5,297909.72,273868.49,24041.23,95600,71558.76,24041.24,7212.44,6010.37,1202.07
"CKEM, Inc.",130702712,Columbia,3,250722.64,227329.23,23393.41,78842,55448.79,23393.21,7017.99,5848.33,1169.66
"CKW Enterprises, LLC",120706942,Shelbyville,4,125936.41,118189.25,7747.16,40729,32981.24,7747.76,2324.36,1936.96,387.4
"CLACK STONE, INC.",140703786,Elizabeth,4,81330.84,75212.11,6118.73,25106,18987.3,6118.7,1835.67,1529.73,305.94
"CLAIRE'S CAFE, LLC",150701621,Salem,5,469335.31,432704.86,36630.45,142040,105409.55,36630.45,10989.2,9157.66,1831.54
"CLAM 1, INC.",150701622,West Peoria,5,268700.67,245109.63,23591.04,89274,65682.96,23591.04,7077.44,5897.86,1179.58
CLANCYS OAK LAWN LTD.,130704952,Oak Lawn,5,397736.66,368484.9,29251.76,107519,78267.75,29251.25,8775.43,7312.86,1462.57
"Clark County Post #90, The American Legion Department of Illinois",120906180,Marshall,5,467360.28,439393.13,27967.15,130754,102786.85,27967.15,8390.19,6991.83,1398.36
Clarks Bar & Grill Inc.,160700782,Beach Park,5,170641.83,155948.05,14693.78,52991,38297.27,14693.73,4408.15,3673.46,734.69
Claudette E. Magnoni,130704278,Oglesby,2,21394.27,18183.01,3211.26,5694,2482.74,3211.26,963.42,802.85,160.57
"Clawson Sedam, Inc.",150701978,Joy,3,53418.12,49607.29,3810.83,9532,5721.17,3810.83,1143.25,952.71,190.54
"Claygames, Inc.",160701379,North Pekin,5,341999.51,314301.28,27698.23,102089,74390.77,27698.23,8309.51,6924.6,1384.91
"Claygames, Inc.",160700160,Creve Coeur,5,720309.77,667388.15,52921.62,199238,146316.45,52921.55,15876.55,13230.46,2646.09
Clayton's Tap Inc.,120700377,Morris,5,294330.93,267699.53,26631.4,101781,75149.6,26631.4,7989.46,6657.89,1331.57
Clifford E Johnson V.F.W. Post No 9759,120911413,Loves Park,5,150737.96,139560.97,11176.99,61626,50449.05,11176.95,3353.12,2794.27,558.85
"Cliffside Inn, Inc.",120711154,Godfrey,3,85948.41,80115.92,5832.49,23828,17995.68,5832.32,1749.74,1458.11,291.63
Clint D Williams,120704424,Herrin,4,82212.08,77332.77,4879.31,29465,24585.69,4879.31,1463.86,1219.89,243.97
Clinton W Casford & Charles W Casford III,120703518,Depue,5,244464.67,219653.91,24810.76,84228,59417.09,24810.91,7443.35,6202.79,1240.56
CLODDAGH INC.,130704613,Lake County,5,472426.59,434919.47,37507.12,137018,99510.88,37507.12,11252.15,9376.79,1875.36
"Clover Club DDG, Inc.",140700505,Mark,4,136116.55,130226.24,5890.31,41700,35809.69,5890.31,1767.12,1472.6,294.52
"Clover Leaf Sports Bar, Inc.",160703574,Madison,3,11236.01,10448.09,787.92,3542,2754.72,787.28,236.19,196.82,39.37
Clover Restaurant Group LLC,160703049,Stone Park,5,121779.73,108501.27,13278.46,33094,19815.54,13278.46,3983.64,3319.7,663.94
Clover Restaurant Group LLC,150700580,Lyons,5,493431.36,452633.46,40797.9,146483,105684.8,40798.2,12239.51,10199.6,2039.91
"CLOVERLEAF GOLF COURSE, INC.",140702622,Madison County,3,33664.66,31501.62,2163.04,8381,6218.06,2162.94,648.9,540.75,108.15
CLUB 116 LLC,150701572,Roanoke,3,32669.18,30865.58,1803.6,9038,7234.4,1803.6,541.14,450.95,90.19
"Club 30, LLC",150703554,Kankakee,5,178481.23,162711.06,15770.17,60769,44998.83,15770.17,4731.08,3942.57,788.51
CLUB 390 CORP,140703501,Chicago Heights,5,239308.45,218179.12,21129.33,78586,57481.67,21104.33,6331.38,5276.15,1055.23
Club 41 LLC,150703729,St. Augustine,3,39077.75,34972.27,4105.48,12679,8573.52,4105.48,1231.7,1026.42,205.28
"Club Cabaret, Inc.",120701420,Creve Coeur,5,295399.38,275955.8,19443.58,104248,84784.42,19463.58,5839.12,4865.94,973.18
Club Diamond Slot Lounge Inc.,160703159,East Moline,5,135598.03,122170.15,13427.88,37910,24482.12,13427.88,4028.47,3357.06,671.41
Club Escapade Inc.,130700738,Belleville,5,207224.33,186958.59,20265.74,65077,44811.26,20265.74,6079.77,5066.47,1013.3
"Club Exit 41, Inc.",160703595,Okawville,0,-84416.34,-77352.74,-7063.6,-22069,-15005.36,-7063.64,-2119.12,-1765.94,-353.18
"Club Exit 41, Inc.",160703595,Washington County,4,190555.11,176892.88,13662.23,53183,39520.73,13662.27,4098.79,3415.66,683.13
"Club Havana, LLC",150702903,Havana,4,79374.66,72610.21,6764.45,27958,21193.39,6764.61,2029.36,1691.14,338.22
Club Krave LLC,120709588,Blue Island,3,48720.44,43177.54,5542.9,17797,12254.29,5542.71,1662.82,1385.68,277.14
"Club Seven, Inc.",120708294,Bartonville,4,155942.06,144990.36,10951.7,54491,43539.3,10951.7,3285.53,2737.95,547.58
CLUB TEMULAC,130706625,Calumet City,4,131369.4,118874.59,12494.81,44425,31930.19,12494.81,3748.5,3123.76,624.74
"CLUB WEST OF QUINCY, INC",120709105,Quincy,2,140616.91,132583.04,8033.87,32776,24742.13,8033.87,2410.22,2008.52,401.7
CMCPM ENTERPRISES INC.,150701827,Metropolis,5,97386.89,91100.97,6285.92,26270,19984.08,6285.92,1885.77,1571.48,314.29
CMDM Inc.,160702598,Highland,3,23856.9,23299.1,557.8,7086,6528.2,557.8,167.37,139.47,27.9
CMI FIVE LLC,120704067,Champaign,5,167648.24,160273.11,7375.13,55691,48315.87,7375.13,2212.6,1843.83,368.77
"CMS ENTERTAINMENT, INC.",160704006,Harvey,4,16493.84,14605.57,1888.27,5134,3245.73,1888.27,566.48,472.07,94.41
CMS2 Inc.,140701069,Ottawa,5,186450,173219.28,13230.72,56113,42882.12,13230.88,3969.35,3307.79,661.56
CMT XII Inc.,150704406,Champaign,5,114636.9,105543.04,9093.86,41090,31996.14,9093.86,2728.2,2273.5,454.7
"CNHINTERSCHER, Inc.",120700493,Oblong,4,65366.55,60586.3,4780.25,20471,15690.75,4780.25,1434.11,1195.09,239.02
CNT Inc. Decatur,120712056,Dalton City,3,61342.39,55299.78,6042.61,20231,14188.43,6042.57,1812.8,1510.66,302.14
COACH'S CORNER INC.,160700195,Elk Grove Village,5,208360.48,197595.15,10765.33,87950,77184.67,10765.33,3229.63,2691.36,538.27
"Coaches Bar, Inc.",120706960,Midlothian,5,174155.95,159226.83,14929.12,58906,43976.88,14929.12,4478.77,3732.31,746.46
"COBETTO'S, INCORPORATED",120702267,Taylor Springs,4,111975.44,104013.89,7961.55,34077,26115.37,7961.63,2388.55,1990.46,398.09
"COCHRANE'S OFFICE, INC.",120703205,Urbana,5,415028.94,385729.98,29298.96,147023,117723.99,29299.01,8789.79,7324.83,1464.96
"Coffee Can 7, LLC",140704317,Waukegan,5,744612.32,689431.62,55180.7,251833,196652.5,55180.5,16554.19,13795.16,2759.03
"COFFEY RESTAURANTS, INC.",150701571,Springfield,5,161198.43,150191.3,11007.13,55874,44866.6,11007.4,3302.3,2751.92,550.38
"COKO Services, Inc.",120704249,Rock City,5,191364.45,177254.77,14109.68,66581,52471.38,14109.62,4232.98,3527.49,705.49
"Cold Cut Blackstone, Inc.",140703133,River Grove,5,513194.48,470758.05,42436.43,149848,107411.67,42436.33,12730.92,10609.1,2121.82
Coleman Unlimited Inc.,160700099,Creve Coeur,4,178523.6,165903.76,12619.84,55787,43167.16,12619.84,3786.04,3155.04,631
"COLEMANS CRYSTAL LAKE, INC.",160701323,Crystal Lake,3,211080.94,190584.97,20495.97,81049,60553.03,20495.97,6148.8,5124,1024.8
"Coles Corner Tap, Inc.",120706983,Peoria,5,297291.01,276455.29,20835.72,96417,75581.28,20835.72,6250.71,5208.92,1041.79
Colfax Bar + Grill Inc.,150700057,Colfax,3,91623.05,83269.55,8353.5,24943,16589.5,8353.5,2506.1,2088.42,417.68
"Colombi Enterprises, Inc. ",120707213,Rockford,5,454343.34,414151.64,40191.7,131938,91746.3,40191.7,12057.53,10047.94,2009.59
